COLUMN_1,COLUMN_2
001DEWITT WARD 1,001DEWITT 1
001DEWITT WARD 2,001DEWITT 2
001DEWITT WARD 3,001DEWITT 3
001STUTTGART WARD 1,001STUTTGART 1
001STUTTGART WARD 2,001STUTTGART 2
001STUTTGART WARD 3,001STUTTGART 3
003CROSSROADS,003CROSS ROADS
003FH CITY,003FOUNTAIN HILL CITY
003FH RURAL,003FOUNTAIN HILL RURAL
003HBG RURAL/BC/MIST,003HAMBURG RURAL/BEECH CREEK/MIST
003MONTROSE RRL/BOY/SNY/TRA,003MONTROSE RURAL/BOYDELL/SNYDER-TRAFALGAR
003MT ZION,003MT. ZION
003VOTECH,003VO - TECH
007PRECINCT 1,0071
007PRECINCT 10,00710
007PRECINCT 11,00711
007PRECINCT 12,00712
007PRECINCT 13,00713
007PRECINCT 14,00714
007PRECINCT 15,00715
007PRECINCT 16,00716
007PRECINCT 17,00717
007PRECINCT 18,00718
007PRECINCT 19,00719
007PRECINCT 2,0072
007PRECINCT 20,00720
007PRECINCT 21,00721
007PRECINCT 22,00722
007PRECINCT 23,00723
007PRECINCT 24,00724
007PRECINCT 25,00725
007PRECINCT 26,00726
007PRECINCT 27,00727
007PRECINCT 28,00728
007PRECINCT 29,00729
007PRECINCT 3,0073
007PRECINCT 30,00730
007PRECINCT 31,00731
007PRECINCT 32,00732
007PRECINCT 33,00733
007PRECINCT 34,00734
007PRECINCT 35,00735
007PRECINCT 36,00736
007PRECINCT 37,00737
007PRECINCT 38,00738
007PRECINCT 39,00739
007PRECINCT 4,0074
007PRECINCT 40,00740
007PRECINCT 41,00741
007PRECINCT 42,00742
007PRECINCT 43,00743
007PRECINCT 44,00744
007PRECINCT 45,00745
007PRECINCT 46,00746
007PRECINCT 47,00747
007PRECINCT 48,00748
007PRECINCT 49,00749
007PRECINCT 5,0075
007PRECINCT 50,00750
007PRECINCT 51,00751
007PRECINCT 52,00752
007PRECINCT 53,00753
007PRECINCT 54,00754
007PRECINCT 55,00755
007PRECINCT 56,00756
007PRECINCT 57,00757
007PRECINCT 58,00758
007PRECINCT 59,00759
007PRECINCT 6,0076
007PRECINCT 60,00760
007PRECINCT 61,00761
007PRECINCT 62,00762
007PRECINCT 63,00763
007PRECINCT 64,00764
007PRECINCT 65,00765
007PRECINCT 66,00766
007PRECINCT 67,00767
007PRECINCT 68,00768
007PRECINCT 69,00769
007PRECINCT 7,0077
007PRECINCT 70,00770
007PRECINCT 71,00771
007PRECINCT 72,00772
007PRECINCT 73,00773
007PRECINCT 74,00774
007PRECINCT 75,00775
007PRECINCT 76,00776
007PRECINCT 77,00777
007PRECINCT 78,00778
007PRECINCT 79,00779
007PRECINCT 8,0078
007PRECINCT 80,00780
007PRECINCT 81,00781
007PRECINCT 82,00782
007PRECINCT 83,00783
007PRECINCT 84,00784
007PRECINCT 85,00785
007PRECINCT 86,00786
007PRECINCT 87,00787
007PRECINCT 88,00788
007PRECINCT 89,00789
007PRECINCT 9,0079
007PRECINCT 90,00790
007PRECINCT 91,00791
007PRECINCT 92,00792
007PRECINCT 93,00793
007PRECINCT 94,00794
"009DISTRICT 10.1, 10.2, 10.7,10.8",009DISTRICT 10.1/10.2/10.7/10.8
"009DISTRICT 10.3, 10.4,10.5,10.6",009DISTRICT 10.3/10.4/10.5/10.6
"009DISTRICT 11.2,11.3,11.4",009DISTRICT 11.2/11.3/11.4
"009DISTRICT 3.1, 3.3",009DISTRICT 3.1/3.3
"009DISTRICT 5.1 - 5.5,5.7,5.8 5.9",009DISTRICT 5.1-5.5/5.7-5.9
"009DISTRICT 6.2, 6.5,6.8",009DISTRICT 6.2/6.5/6.8
"009DISTRICT 6.3, 6.4,6.6,6.7",009DISTRICT 6.3/6.4/6.6/6.7
"009DISTRICT 7.1, 7.3,7.5 - 7.8",009DISTRICT 7.1/7.3/7.5-7.8
011WARD 1,011WARREN WARD 1
011WARD 2,011WARREN WARD 2
011WARD 3,011WARREN WARD 3
013ABSENTEE,
013WATSON ADDITION,013TINSMAN WATSON
015BV WARD 1,015BERRYVILLE WARD 1
015BV WARD 2,015BERRYVILLE WARD 2
015CARROLLTON,015CARROLTON
"015ES WARDS 1,2,3",015EUREKA SPRINGS WARDS 1-3
015GF WARDS 1 & 2,015GREEN FOREST WARDS 1-2
015JHN SPGS/PKD SPGS/WINONA,015JOHNSON SPRINGS/PACKARD SPRINGS/WINONA
015NE/NWHICKORY/COIN/LNG CRK,015NE/NW HICKORY/COIN/LONG CREEK
015SW/SE HICKORY,015SOUTH WEST HICKORY/SOUTH EAST HICKORY
017BOWIE 1,017BOWIE WARD 1
017BOWIE 2,017BOWIE WARD 2
017BOWIE 3,017BOWIE WARD 3
017CARLTON 1 & 2,017CARLTON 1&2
019AMITY CITY,019AMITY
019ARKADELPHIA WARD 1,019ARKADELPHIA JP1
019ARKADELPHIA WARD 2,019ARKADELPHIA JP2
019ARKADELPHIA WARD 3,019ARKADELPHIA JP3
019ARKADELPHIA WARD 4,019ARKADELPHIA JP4
019ARKADELPHIA WARD 5,019ARKADELPHIA JP5
019GUM SPRINGS INSIDE/OUTSID,019GUM SPRINGS INSIDE/OUTSIDE
