COLUMN_1,COLUMN_2
00111 - MCFALL,001MCFALL
00112 - CROCKETT,001CROCKETT
00113 - KEATON,001KEATON
00114 - MILL BAYOU,001MILL BAYOU
00115 - ALMYRA,001ALMYRA
00121 - PRAIRIE,001PRAIRIE
00122 - LAGRUE,001LAGRUE
00123 - ST. CHARLES,001ST. CHARLES
00131 - CHESTER,001CHESTER
00132 - ARKANSAS,001ARKANSAS
00133 - STANLEY,001STANLEY
00134 - GILLETT WARD 1,001GILLETT WARD 1
00135 - GILLETT WARD 2,001GILLETT WARD 2
00136 - GILLETT WARD 3,001GILLETT WARD 3
00137 - PT DELUCE,001PT DELUCE
00138 - BAYOU METO,001BAYOU METO
00141 - MORRIS,001MORRIS
00142 - GUM POND,001GUM POND
00143 - BARTON,001BARTON
00144 - HENTON,001HENTON
00145 - BREWER,001BREWER
00146 - GARLAND,001GARLAND
00147 - HUMPHREY WARD 1,001HUMPHREY WARD 1
00148 - HUMPHREY WARD 3,001HUMPHREY WARD 3
00151 - DEWITT 1,001DEWITT 1
00153 - DEWITT 2,001DEWITT 2
00155 - DEWITT 3,001DEWITT 3
00171 - STUTTGART 1,001STUTTGART 1
00181 - STUTTGART 2,001STUTTGART 2
00191 - STUTTGART 3,001STUTTGART 3
00301 - CROSSETT WARD 1,003CROSSETT WARD 1
00302 - CROSSETT WARD 2,003CROSSETT WARD 2
00303 - CROSSETT WARD 3,003CROSSETT WARD 3
00304 - NORTH CROSSETT EAST,003NORTH CROSSETT EAST
00305 - NORTH CROSSETT WEST,003NORTH CROSSETT WEST
00306 - WEST CROSSETT RURAL,003WEST CROSSETT RURAL
00307 - VO - TECH,003VO - TECH
00308 - COOTER,003COOTER
00309 - HICKORY GROVE,003HICKORY GROVE
00310 - CROSS ROADS,003CROSS ROADS
00311 - HAMBURG WARD 3,003HAMBURG WARD 3
00312 - HAMBURG WARD 2,003HAMBURG WARD 2
00313 - HAMBURG WARD 1,003HAMBURG WARD 1
00314 - HAMBURG RURAL,003HAMBURG RURAL/BEECH CREEK/MIST
00315 - MT. ZION,003MT. ZION
00316 - MILO,003MILO
00319 - FOUNTAIN HILL CITY,003FOUNTAIN HILL CITY
00320 - FOUNTAIN HILL RURAL,003FOUNTAIN HILL RURAL
00321 - PORTLAND CITY,003PORTLAND CITY
00322 - PORTLAND RURAL,003PORTLAND RURAL
00325 - MONTROSE CITY,003MONTROSE CITY
00326 - MONTROSE RURAL,003MONTROSE RURAL/BOYDELL/SNYDER-TRAFALGAR
00327 - PARKDALE CITY,003PARKDALE CITY
00328 - PARKDALE RURAL,003PARKDALE RURAL
00329 - WILMOT CITY,003WILMOT CITY
00330 - WILMOT RURAL,003WILMOT RURAL
007PRECINCT 01,0071
007PRECINCT 02,0072
007PRECINCT 03,0073
007PRECINCT 04,0074
007PRECINCT 05,0075
007PRECINCT 06,0076
007PRECINCT 07,0077
007PRECINCT 08,0078
